mainRibbonTabWorkbenchCapture;Werkbank
mainRibbonTabMetadataCapture;Stambestanden
mainRibbonManageTimeButtonLabel;Tijdregistratie
mainRibbonManageTimeGroupHeader;Tijdregistratie
mainRibbonManageTimeEditHeader;Bewerken
mainRibbonManageTimeEditTooltip;Registreren van de gewerkte uren en gebruikte materialen
mainRibbonManageTimeExportHeader;Exporteer uren
mainRibbonManageTimeExportTooltip;Exporteer de vastgelegde uren naar een CSV bestand
mainRibbonManageTimeImportHeader;Importeer uren
mainRibbonManageTimeImportTooltip;Importeer vastgelegde uren uit een CSV bestand
mainRibbonManageTimeReportHeader;Urenrapportage
mainRibbonManageTimeReportTooltip;Bekijk de vastgelijgde uren per projecte
mainRibbonManageProjectButtonLabel;Projecten
mainRibbonManageProjectGroupHeader;Projectenbeheer
mainRibbonManageProjectEditHeader;Beheer
mainRibbonManageProjectEditTooltip;Registratie en beheer van alle modelbouw projecten
mainRibbonManageProjectExportHeader;Exporteer projecten
mainRibbonManageProjectExportTooltip;Exporteer de projecten naar een CSV bestand
mainRibbonManageProjectImportHeader;Importeer projecten
mainRibbonManageProjectImportTooltip;Importeer projecten uit een CSV bestand
mainRibbonManageProjectReportHeader;Projectenoverzicht
mainRibbonManageProjectReportTooltip;Overzicht van alle projecten
mainRibbonManageStorageButtonLabel;Beheer
mainRibbonManageStorageGroupHeader;Voorraadbeheer
mainRibbonManageStorageMutationsHeader;Voorraadbeheer
mainRibbonManageStorageMutationsTooltip;Voorraad correcties doorvoeren
mainRibbonManageStorageOrderHeader;Bestellingen
mainRibbonManageStorageOrderTooltip;Openstaande bestellingen beheren
mainRibbonManageStorageReceiptHeader;Ontvangsten
mainRibbonManageStorageReceiptTooltip;Ontvangsten boeken op lopende bestelling
mainRibbonManageStorageReportHeader;Overzichten
mainRibbonManageStorageReportTooltip;Beschikbare overzichten betreffende de voorraad
mainRibbonManageStorageReportOrdersHeader;Bestellingen
mainRibbonManageStorageReportOrdersTooltip;Overzicht van alle openstaande bestellingen
mainRibbonManageStorageReportStorageHeader;Voorraadoverzicht
mainRibbonManageStorageReportStorageTooltip;Overzicht van de actuele voorraad
mainRibbonManageStorageReportUsageHeader;Verbruik
mainRibbonManageStorageReportUsageTooltip;Overzicht van het product gebruik per project
mainRibbonManageMetadataButtonLabel;Stambestanden
mainRibbonManageMetadataGroupHeader;Stambestanden
mainRibbonManageMetadataBrandGroupHeader;Merken beheer
mainRibbonManageMetadataBrandEditLabel;Merken
